,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP	
522,GEOMETRIC,EQ,125.0,128.5,118.1,122.05,122.0,126.15,261878,32241048.25,17-DEC-2014	
621,GEOMETRIC,EQ,98.8,100.5,98.8,99.1,99.0,99.55,49782,4956716.7,26-APR-2013	
2461,GEOMETRIC,EQ,71.1,72.1,68.6,69.7,70.0,71.35,51757,3661284.2,17-FEB-2011	
3139,GEOMETRIC,EQ,71.45,74.85,71.1,73.9,73.9,71.05,333378,24609181.6,27-JUN-2012	
4298,GEOMETRIC,EQ,72.5,74.9,71.1,71.45,71.5,69.8,573476,41891076.15,17-FEB-2012	
6168,GEOMETRIC,EQ,91.95,91.95,89.0,89.6,89.3,90.35,32616,2933904.4,17-FEB-2014	
8013,GEOMETRIC,EQ,75.4,77.35,73.65,76.4,76.7,75.4,132718,10079416.75,17-JAN-2011	
9841,GEOMETRIC,EQ,59.9,62.25,58.35,58.95,58.4,59.8,161343,9764387.3,17-JAN-2012	
11740,GEOMETRIC,EQ,114.1,114.4,111.8,112.5,112.1,113.0,370594,41921818.45,17-JAN-2013	
13654,GEOMETRIC,EQ,100.2,101.45,97.75,98.3,98.05,101.5,181534,17991642.7,17-JAN-2014	
15540,GEOMETRIC,EQ,71.3,72.45,70.1,70.6,70.8,71.05,70902,5051659.1,17-JUL-2012	
17383,GEOMETRIC,EQ,103.75,109.85,103.75,105.45,105.5,104.35,356137,38410814.55,17-JUL-2013	
18062,GEOMETRIC,EQ,105.6,108.25,104.1,105.2,105.2,105.2,233804,24846517.35,02-MAY-2014	
19157,GEOMETRIC,EQ,142.0,148.5,141.4,145.45,146.0,140.6,707939,102932757.2,17-JUL-2014	
21121,GEOMETRIC,EQ,119.3,121.35,117.6,118.6,118.8,121.35,410052,48870356.4,17-JUL-2015	
21569,GEOMETRIC,EQ,103.5,105.8,101.8,103.15,104.0,103.15,36192,3750413.85,27-JUN-2013	
23054,GEOMETRIC,EQ,57.9,58.15,56.1,56.35,56.4,57.4,55082,3125130.8,17-JUN-2011	
24865,GEOMETRIC,EQ,101.35,105.25,101.35,103.05,104.0,101.35,146150,15151746.3,17-JUN-2013	
26671,GEOMETRIC,EQ,138.4,140.2,136.0,137.9,137.65,137.85,166832,23096655.1,17-JUN-2014	
28631,GEOMETRIC,EQ,106.4,109.65,105.55,107.5,107.75,105.3,298135,32159550.95,17-JUN-2015	
30534,GEOMETRIC,EQ,61.3,61.75,60.5,60.8,60.8,61.4,20346,1240667.25,17-MAR-2011	
32371,GEOMETRIC,EQ,172.9,182.3,171.5,177.55,177.4,171.7,1721883,305974400.25,17-MAR-2015	
34288,GEOMETRIC,EQ,59.95,60.2,58.15,58.45,58.5,59.9,22705,1343170.1,17-MAY-2011	
36112,GEOMETRIC,EQ,72.5,73.5,70.0,70.45,70.3,71.9,316512,22740077.65,17-MAY-2012	
37168,GEOMETRIC,EQ,67.6,67.6,66.7,67.2,67.25,66.95,24275,1630638.75,02-NOV-2010	
37963,GEOMETRIC,EQ,102.8,105.3,102.05,104.2,105.15,103.3,198177,20522728.75,17-MAY-2013	
39597,GEOMETRIC,EQ,132.4,145.0,132.4,143.35,143.2,132.1,899551,126230830.7,27-JUN-2014	
39802,GEOMETRIC,EQ,40.0,40.5,37.55,38.2,38.0,39.3,44797,1749864.25,17-NOV-2011	
41671,GEOMETRIC,EQ,130.05,132.65,129.15,130.25,130.35,130.85,194651,25385288.3,17-NOV-2014	
43637,GEOMETRIC,EQ,45.0,45.1,43.0,44.45,44.35,44.35,32051,1422576.9,17-OCT-2011	
