3IINFOTECH	EQ	5.65	6.1	5.65	6.1	6.1	5.55	944273	5676839.0	01-APR-2013	1216	INE748C01020
ADANIENT	EQ	203.95	207.7	201.35	206.8	206.95	202.2	1088434	2.23029776E8	01-APR-2013	14930	INE423A01024
ADANIPORTS	EQ	140.8	144.2	137.35	142.45	143.25	138.7	890295	1.26255704E8	01-APR-2013	10105	INE742F01042
ADANIPOWER	EQ	41.7	42.7	40.55	42.2	42.2	40.65	1464569	6.1242356E7	01-APR-2013	7750	INE814H01011
AFTEK	EQ	5.0	5.5	4.75	5.3	5.25	4.9	337076	1764122.8	01-APR-2013	617	INE796A01023
ALBK	EQ	126.9	130.1	125.1	129.5	129.95	126.4	1315112	1.68481632E8	01-APR-2013	17278	INE428A01015
ALOKTEXT	EQ	8.45	9.0	8.25	8.85	8.95	8.2	5003130	4.3123372E7	01-APR-2013	5614	INE270A01011
AMBUJACEM	EQ	175.0	177.5	172.65	174.25	174.5	174.2	1407812	2.45966304E8	01-APR-2013	14322	INE079A01024
ANANTRAJ	EQ	63.0	65.45	63.0	64.75	64.5	62.8	633618	4.0822524E7	01-APR-2013	5893	INE242C01024
ANDHRABANK	EQ	97.65	97.65	95.1	96.3	97.0	94.65	700706	6.729432E7	01-APR-2013	4646	INE434A01013
APOLLOTYRE	EQ	84.0	86.5	82.95	86.1	85.95	83.45	1225750	1.04018672E8	01-APR-2013	12024	INE438A01022
ARSHIYA	EQ	18.05	19.95	18.05	18.05	18.05	19.0	425672	7862557.0	01-APR-2013	1317	INE968D01022
ARVIND	EQ	77.2	79.85	76.75	79.6	79.8	77.35	561007	4.410058E7	01-APR-2013	5628	INE034A01011
ASHOKLEY	EQ	21.9	22.25	21.9	22.15	22.1	21.85	1420748	3.1341778E7	01-APR-2013	5424	INE208A01029
ASSAMCO	EQ	5.25	5.8	5.25	5.75	5.75	5.25	350767	1957600.1	01-APR-2013	609	INE442A01024
AUROPHARMA	EQ	158.0	158.0	146.85	151.95	151.95	145.95	3197824	4.86971392E8	01-APR-2013	29097	INE406A01037
AXISBANK	EQ	1301.25	1318.5	1296.0	1314.9	1312.0	1300.7	981343	1.28608678E9	01-APR-2013	42161	INE238A01026
BAJAJ-AUTO	EQ	1798.0	1818.25	1770.05	1781.3	1772.55	1799.55	362092	6.5166515E8	01-APR-2013	21567	INE917I01010
BAJAJHIND	EQ	18.95	19.8	18.7	19.5	19.6	18.95	1262862	2.4414454E7	01-APR-2013	4912	INE306A01021
BALRAMCHIN	EQ	43.4	45.0	43.4	44.8	44.8	43.6	494942	2.202578E7	01-APR-2013	3301	INE119A01028
BANKBARODA	EQ	679.85	687.2	670.55	684.7	687.2	675.4	303261	2.0616712E8	01-APR-2013	7949	INE028A01013
BANKINDIA	EQ	305.9	309.9	300.9	308.75	309.0	302.85	567220	1.73406464E8	01-APR-2013	10062	INE084A01016
BEML	EQ	148.5	160.0	147.1	153.1	152.5	146.95	323265	5.0090744E7	01-APR-2013	8128	INE258A01016
BFUTILITIE	EQ	192.7	230.75	192.7	230.75	230.75	192.3	730494	1.58459712E8	01-APR-2013	19952	INE243D01012
BHARATFORG	EQ	204.05	211.55	202.5	203.85	203.3	207.1	336898	6.9799104E7	01-APR-2013	6987	INE465A01025
